# Time-averaged data for fix aveCaIons4
# TimeStep Number-of-rows
# Row c_5
200 4
1 0.0965567
2 0.0808989
3 0.0949509
4 0.272407
300 4
1 0.191185
2 0.151253
3 0.226058
4 0.568496
400 4
1 0.352786
2 0.269583
3 0.45923
4 1.0816
500 4
1 0.523288
2 0.399262
3 0.706971
4 1.62952
600 4
1 0.66542
2 0.524777
3 0.879076
4 2.06927
700 4
1 0.806093
2 0.654887
3 1.02966
4 2.49064
800 4
1 0.892882
2 0.761864
3 1.16434
4 2.81909
900 4
1 1.00876
2 0.871658
3 1.31058
4 3.19099
1000 4
1 1.08816
2 0.914367
3 1.46869
4 3.47122
1100 4
1 1.14367
2 0.946442
3 1.58579
4 3.6759
1200 4
1 1.19453
2 1.00129
3 1.71554
4 3.91136
1300 4
1 1.24027
2 1.06196
3 1.83571
4 4.13793
1400 4
1 1.2846
2 1.16017
3 1.97021
4 4.41498
1500 4
1 1.34711
2 1.26359
3 2.09248
4 4.70319
1600 4
1 1.39819
2 1.32791
3 2.23172
4 4.95782
1700 4
1 1.4464
2 1.36148
3 2.42008
4 5.22795
1800 4
1 1.52048
2 1.44432
3 2.54846
4 5.51326
1900 4
1 1.52527
2 1.54003
3 2.67074
4 5.73604
2000 4
1 1.53471
2 1.63956
3 2.74951
4 5.92378
2100 4
1 1.57958
2 1.71543
3 2.84431
4 6.13933
2200 4
1 1.6621
2 1.7792
3 2.8931
4 6.33441
2300 4
1 1.6773
2 1.82686
3 2.96844
4 6.47261
2400 4
1 1.64393
2 1.83759
3 2.9855
4 6.46703
2500 4
1 1.66306
2 1.86757
3 3.09155
4 6.62218
2600 4
1 1.68876
2 1.94637
3 3.16134
4 6.79647
2700 4
1 1.77713
2 1.9634
3 3.23604
4 6.97658
2800 4
1 1.77919
2 1.98711
3 3.2503
4 7.01659
2900 4
1 1.79156
2 1.96409
3 3.25276
4 7.00841
3000 4
1 1.79832
2 1.9263
3 3.28852
4 7.01314
3100 4
1 1.78974
2 1.98788
3 3.33048
4 7.1081
3200 4
1 1.83168
2 2.03948
3 3.40107
4 7.27223
3300 4
1 1.84137
2 2.08794
3 3.40388
4 7.3332
3400 4
1 1.87608
2 2.09325
3 3.44717
4 7.4165
3500 4
1 1.90819
2 2.07643
3 3.45901
4 7.44362
3600 4
1 1.90853
2 2.05325
3 3.48407
4 7.44585
3700 4
1 1.9375
2 2.0086
3 3.49549
4 7.44159
3800 4
1 1.96347
2 2.02339
3 3.48956
4 7.47641
3900 4
1 1.92964
2 1.97199
3 3.50367
4 7.40531
4000 4
1 1.95348
2 1.97777
3 3.48698
4 7.41822
4100 4
1 1.99907
2 2.00738
3 3.48649
4 7.49294
4200 4
1 2.09508
2 1.99773
3 3.45139
4 7.5442
4300 4
1 2.14203
2 1.97372
3 3.45823
4 7.57398
4400 4
1 2.1931
2 1.98151
3 3.44642
4 7.62103
4500 4
1 2.24554
2 1.97372
3 3.41549
4 7.63476
4600 4
1 2.32027
2 1.9853
3 3.418
4 7.72357
4700 4
1 2.35383
2 2.01444
3 3.37855
4 7.74681
4800 4
1 2.36597
2 2.02632
3 3.37575
4 7.76804
4900 4
1 2.35546
2 2.04163
3 3.35246
4 7.74955
5000 4
1 2.34764
2 2.04367
3 3.36715
4 7.75846
5100 4
1 2.33519
2 2.0345
3 3.33402
4 7.70371
5200 4
1 2.36031
2 2.0741
3 3.32418
4 7.75859
5300 4
1 2.38187
2 2.13559
3 3.35182
4 7.86929
5400 4
1 2.44119
2 2.13826
3 3.32926
4 7.9087
5500 4
1 2.50796
2 2.14276
3 3.31813
4 7.96885
5600 4
1 2.51377
2 2.17506
3 3.33625
4 8.02507
5700 4
1 2.50912
2 2.25945
3 3.35556
4 8.12413
5800 4
1 2.54331
2 2.26294
3 3.35019
4 8.15645
5900 4
1 2.55451
2 2.25733
3 3.32629
4 8.13812
6000 4
1 2.51736
2 2.29703
3 3.35804
4 8.17243
6100 4
1 2.50028
2 2.37196
3 3.38809
4 8.26032
6200 4
1 2.50545
2 2.45899
3 3.49533
4 8.45977
6300 4
1 2.56891
2 2.52487
3 3.55001
4 8.6438
6400 4
1 2.61592
2 2.53126
3 3.58098
4 8.72816
6500 4
1 2.62927
2 2.51491
3 3.59636
4 8.74054
6600 4
1 2.61715
2 2.56551
3 3.59398
4 8.77664
6700 4
1 2.62511
2 2.56435
3 3.60808
4 8.79754
6800 4
1 2.60866
2 2.50604
3 3.58857
4 8.70326
6900 4
1 2.6211
2 2.49604
3 3.63238
4 8.74951
7000 4
1 2.62439
2 2.53226
3 3.65066
4 8.80731
7100 4
1 2.67782
2 2.60942
3 3.64866
4 8.9359
7200 4
1 2.63931
2 2.64105
3 3.64579
4 8.92615
7300 4
1 2.59899
2 2.72101
3 3.71291
4 9.03291
7400 4
1 2.60623
2 2.76684
3 3.68686
4 9.05993
7500 4
1 2.64309
2 2.82229
3 3.67009
4 9.13546
7600 4
