# Time-averaged data for fix aveOH4
# TimeStep Number-of-rows
# Row c_9
200 4
1 0.645198
2 0.674864
3 0.802449
4 2.12251
300 4
1 0.701831
2 0.699054
3 0.922204
4 2.32309
400 4
1 0.809482
2 0.772066
3 1.14325
4 2.7248
500 4
1 0.923014
2 0.881362
3 1.35913
4 3.16351
600 4
1 1.0049
2 0.980104
3 1.5576
4 3.54261
700 4
1 1.06282
2 1.09706
3 1.78758
4 3.94746
800 4
1 1.13206
2 1.20152
3 2.00637
4 4.33995
900 4
1 1.2118
2 1.31006
3 2.23919
4 4.76105
1000 4
1 1.30509
2 1.42941
3 2.43202
4 5.16651
1100 4
1 1.40463
2 1.52494
3 2.61499
4 5.54456
1200 4
1 1.47934
2 1.62536
3 2.78437
4 5.88907
1300 4
1 1.51971
2 1.72461
3 2.93957
4 6.18389
1400 4
1 1.55969
2 1.7771
3 3.09469
4 6.43148
1500 4
1 1.61682
2 1.89319
3 3.26554
4 6.77554
1600 4
1 1.6774
2 2.00827
3 3.44049
4 7.12615
1700 4
1 1.70699
2 2.08916
3 3.5706
4 7.36675
1800 4
1 1.75069
2 2.13589
3 3.67555
4 7.56213
1900 4
1 1.8021
2 2.22002
3 3.79054
4 7.81266
2000 4
1 1.86724
2 2.30254
3 3.93116
4 8.10094
2100 4
1 1.93858
2 2.38489
3 4.05371
4 8.37718
2200 4
1 2.0486
2 2.47521
3 4.12377
4 8.64758
2300 4
1 2.16836
2 2.56615
3 4.2006
4 8.9351
2400 4
1 2.25652
2 2.61525
3 4.2737
4 9.14548
2500 4
1 2.34058
2 2.63614
3 4.3785
4 9.35523
2600 4
1 2.38898
2 2.67503
3 4.49926
4 9.56327
2700 4
1 2.44357
2 2.71642
3 4.60915
4 9.76914
2800 4
1 2.51078
2 2.7644
3 4.69769
4 9.97287
2900 4
1 2.59322
2 2.81194
3 4.75759
4 10.1627
3000 4
1 2.61736
2 2.86992
3 4.80078
4 10.2881
3100 4
1 2.57736
2 2.9175
3 4.88187
4 10.3767
3200 4
1 2.55253
2 2.98375
3 4.99141
4 10.5277
3300 4
1 2.55967
2 3.03428
3 5.09974
4 10.6937
3400 4
1 2.609
2 3.04631
3 5.18207
4 10.8374
3500 4
1 2.62794
2 3.02845
3 5.24472
4 10.9011
3600 4
1 2.66498
2 3.06676
3 5.31343
4 11.0452
3700 4
1 2.73984
2 3.13685
3 5.37356
4 11.2503
3800 4
1 2.78904
2 3.20784
3 5.42276
4 11.4196
3900 4
1 2.82934
2 3.23914
3 5.46321
4 11.5317
4000 4
1 2.88346
2 3.31206
3 5.4397
4 11.6352
4100 4
1 2.90331
2 3.37691
3 5.39626
4 11.6765
4200 4
1 2.95506
2 3.43323
3 5.4336
4 11.8219
4300 4
1 3.00174
2 3.48588
3 5.45576
4 11.9434
4400 4
1 3.04023
2 3.53824
3 5.45199
4 12.0305
4500 4
1 3.03992
2 3.58747
3 5.47015
4 12.0975
4600 4
1 3.01844
2 3.66642
3 5.49425
4 12.1791
4700 4
1 3.00066
2 3.77006
3 5.48577
4 12.2565
4800 4
1 3.01113
2 3.86105
3 5.48071
4 12.3529
4900 4
1 3.04675
2 3.9217
3 5.47308
4 12.4415
5000 4
1 3.11193
2 4.00665
3 5.42395
4 12.5425
5100 4
1 3.18013
2 4.09782
3 5.41614
4 12.6941
5200 4
1 3.23422
2 4.17472
3 5.46889
4 12.8778
5300 4
1 3.2899
2 4.27383
3 5.51426
4 13.078
5400 4
1 3.32626
2 4.40136
3 5.5609
4 13.2885
5500 4
1 3.38594
2 4.44896
3 5.64211
4 13.477
5600 4
1 3.41932
2 4.45963
3 5.70504
4 13.584
5700 4
1 3.47359
2 4.53256
3 5.72305
4 13.7292
5800 4
1 3.5311
2 4.60579
3 5.74313
4 13.88
5900 4
1 3.54029
2 4.67217
3 5.80891
4 14.0214
6000 4
1 3.53044
2 4.67741
3 5.84969
4 14.0575
6100 4
1 3.53277
2 4.72178
3 5.79526
4 14.0498
6200 4
1 3.58905
2 4.80059
3 5.73123
4 14.1209
6300 4
1 3.64893
2 4.91504
3 5.69709
4 14.2611
6400 4
1 3.70465
2 5.0085
3 5.71853
4 14.4317
6500 4
1 3.74665
2 5.05875
3 5.79085
4 14.5963
6600 4
1 3.81979
2 5.08138
3 5.84392
4 14.7451
6700 4
1 3.92284
2 5.12679
3 5.87215
4 14.9218
6800 4
1 3.98602
2 5.1521
3 5.92494
4 15.0631
6900 4
1 4.05446
2 5.20649
3 5.93311
4 15.1941
7000 4
1 4.10302
2 5.25188
3 5.92179
4 15.2767
7100 4
1 4.16984
2 5.28767
3 5.98092
4 15.4384
7200 4
1 4.31402
2 5.30372
3 6.12058
4 15.7383
7300 4
1 4.37637
2 5.295
3 6.23513
4 15.9065
7400 4
1 4.43417
2 5.32352
3 6.31139
4 16.0691
7500 4
1 4.47506
2 5.34853
3 6.33114
4 16.1547
7600 4
1 4.51759
2 5.36611
3 6.31411
4 16.1978
7700 4
1 4.58962
2 5.39324
3 6.31902
4 16.3019
7800 4
1 4.67237
2 5.42195
3 6.33676
4 16.4311
7900 4
1 4.73645
2 5.42528
3 6.35053
4 16.5123
8000 4
1 4.75707
2 5.43143
3 6.40937
4 16.5979
8100 4
1 4.74917
2 5.45045
3 6.46372
4 16.6633
8200 4
1 4.74667
2 5.50882
3 6.45216
4 16.7076
8300 4
1 4.81296
2 5.54895
3 6.43869
4 16.8006
8400 4
1 4.87811
2 5.56845
3 6.41529
4 16.8619
8500 4
1 4.93172
2 5.57721
3 6.37407
4 16.883
8600 4
1 4.99053
2 5.59438
3 6.40832
4 16.9932
8700 4
1 5.01165
2 5.63838
3 6.47064
4 17.1207
8800 4
1 4.98356
2 5.68586
3 6.46162
4 17.131
8900 4
1 4.98557
2 5.69405
3 6.53452
4 17.2141
9000 4
1 4.99584
2 5.7315
3 6.61425
4 17.3416
9100 4
1 4.99489
2 5.73622
3 6.65872
4 17.3898
9200 4
1 5.01128
2 5.72586
3 6.64001
4 17.3772
9300 4
1 5.04905
2 5.73971
3 6.62465
4 17.4134
9400 4
1 5.05982
2 5.77509
3 6.60436
4 17.4393
9500 4
1 5.06549
2 5.8002
3 6.61185
4 17.4775
9600 4
1 5.07785
2 5.81755
3 6.69465
4 17.5901
9700 4
1 5.14443
2 5.87156
3 6.69632
4 17.7123
9800 4
1 5.21288
2 5.93457
3 6.67199
4 17.8194
9900 4
1 5.2154
2 5.98876
3 6.6723
4 17.8765
10000 4
1 5.19403
2 6.02566
3 6.69916
4 17.9189
10100 4
1 5.18744
2 6.07084
3 6.79767
4 18.0559
10200 4
1 5.18164
2 6.14374
3 6.93903
4 18.2644
10300 4
1 5.22959
2 6.23717
3 7.11214
4 18.5789
10400 4
1 5.20589
2 6.29809
3 7.29229
4 18.7963
10500 4
1 5.1748
2 6.32914
3 7.37179
4 18.8757
10600 4
1 5.18822
2 6.36297
3 7.40405
4 18.9552
10700 4
1 5.15876
2 6.44806
3 7.41016
4 19.017
10800 4
1 5.10627
2 6.53975
3 7.4384
4 19.0844
10900 4
1 5.11714
2 6.58811
3 7.49263
4 19.1979
11000 4
1 5.18429
2 6.67012
3 7.60205
4 19.4565
11100 4
1 5.22589
2 6.71012
3 7.7064
4 19.6424
11200 4
1 5.2662
2 6.79358
3 7.72002
4 19.7798
11300 4
1 5.2885
2 6.90419
3 7.73068
4 19.9234
11400 4
1 5.28526
2 7.01264
3 7.71974
4 20.0176
11500 4
1 5.30384
2 7.08427
3 7.67643
4 20.0645
11600 4
1 5.315
2 7.15544
3 7.70953
4 20.18
11700 4
1 5.35105
2 7.16858
3 7.70061
4 20.2202
